Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Cancelled Rides by Driver,Incomplete Rides,Booking Value,Payment Method,Ride Distance,Driver Ratings,Customer Rating,Datetime,Hour,DayOfWeek,WeekType,Is_Cancelled,Cancellation_Type,Unified_Reason
1/21/2024,3:00:00,CNR6174002,Cancelled by Driver,653408,Bike,Area-36,Area-47,,,0,1,0,,,,,,2024-01-21 03:00:00,3,Sunday,Weekend,True,Driver,More than permitted people in there
1/5/2024,17:00:00,CNR7212660,Cancelled by Driver,117233,Bike,Area-32,Area-39,,,0,1,0,,,,,,2024-01-05 17:00:00,17,Friday,Weekday,True,Driver,Customer related issue
1/6/2024,7:00:00,CNR7444931,Cancelled by Customer,940064,Prime Sedan,Area-24,Area-34,,,1,0,0,,,,,,2024-01-06 07:00:00,7,Saturday,Weekend,True,Customer,Driver is not moving towards pickup location
1/28/2024,6:00:00,CNR9906386,Incomplete,919264,eBike,Area-10,Area-39,,,0,0,1,,,,,,2024-01-28 06:00:00,6,Sunday,Weekend,True,Incomplete,Vehicle Breakdown
1/6/2024,12:00:00,CNR4901113,Cancelled by Customer,987025,Prime Sedan,Area-23,Area-34,,,1,0,0,,,,,,2024-01-06 12:00:00,12,Saturday,Weekend,True,Customer,Driver is not moving towards pickup location
1/2/2024,22:00:00,CNR9722560,Cancelled by Driver,416768,eBike,Area-35,Area-19,,,0,1,0,,,,,,2024-01-02 22:00:00,22,Tuesday,Weekday,True,Driver,More than permitted people in there
1/4/2024,20:00:00,CNR9592304,Cancelled by Driver,399628,Mini,Area-42,Area-44,,,0,1,0,,,,,,2024-01-04 20:00:00,20,Thursday,Weekday,True,Driver,Personal & Car related issues
1/19/2024,19:00:00,CNR3164798,Cancelled by Customer,643878,Prime Plus,Area-4,Area-46,,,1,0,0,,,,,,2024-01-19 19:00:00,19,Friday,Weekday,True,Customer,Driver asked to cancel
1/21/2024,3:00:00,CNR1705949,Cancelled by Driver,892630,Prime Plus,Area-31,Area-42,,,0,1,0,,,,,,2024-01-21 03:00:00,3,Sunday,Weekend,True,Driver,The customer was coughing/sick
1/3/2024,15:00:00,CNR8925184,Cancelled by Customer,195359,Mini,Area-46,Area-38,,,1,0,0,,,,,,2024-01-03 15:00:00,15,Wednesday,Weekday,True,Customer,Wrong Address
1/20/2024,0:00:00,CNR8454048,Cancelled by Customer,103161,Prime SUV,Area-26,Area-17,,,1,0,0,,,,,,2024-01-20 00:00:00,0,Saturday,Weekend,True,Customer,Driver asked to cancel
1/18/2024,3:00:00,CNR4577192,Cancelled by Driver,726962,Bike,Area-37,Area-21,,,0,1,0,,,,,,2024-01-18 03:00:00,3,Thursday,Weekday,True,Driver,The customer was coughing/sick
1/11/2024,2:00:00,CNR3162309,Cancelled by Driver,547952,eBike,Area-12,Area-41,,,0,1,0,,,,,,2024-01-11 02:00:00,2,Thursday,Weekday,True,Driver,More than permitted people in there
1/21/2024,10:00:00,CNR2939217,Cancelled by Driver,829417,Prime Plus,Area-49,Area-31,,,0,1,0,,,,,,2024-01-21 10:00:00,10,Sunday,Weekend,True,Driver,Customer related issue
1/8/2024,4:00:00,CNR7315189,Incomplete,987826,Prime SUV,Area-34,Area-3,,,0,0,1,,,,,,2024-01-08 04:00:00,4,Monday,Weekday,True,Incomplete,Customer Demand
1/20/2024,14:00:00,CNR5926868,Cancelled by Driver,495490,Mini,Area-6,Area-26,,,0,1,0,,,,,,2024-01-20 14:00:00,14,Saturday,Weekend,True,Driver,More than permitted people in there
1/3/2024,9:00:00,CNR6708639,Incomplete,321686,Prime Plus,Area-34,Area-3,,,0,0,1,,,,,,2024-01-03 09:00:00,9,Wednesday,Weekday,True,Incomplete,Other Issue
1/25/2024,4:00:00,CNR4009850,Cancelled by Driver,715551,Prime Plus,Area-21,Area-2,,,0,1,0,,,,,,2024-01-25 04:00:00,4,Thursday,Weekday,True,Driver,Customer related issue
1/4/2024,12:00:00,CNR2371330,Incomplete,382870,Prime SUV,Area-29,Area-24,,,0,0,1,,,,,,2024-01-04 12:00:00,12,Thursday,Weekday,True,Incomplete,Customer Demand
1/25/2024,13:00:00,CNR7327391,Incomplete,676820,Prime SUV,Area-12,Area-44,,,0,0,1,,,,,,2024-01-25 13:00:00,13,Thursday,Weekday,True,Incomplete,Customer Demand
1/20/2024,16:00:00,CNR9278087,Cancelled by Customer,353777,Prime Sedan,Area-9,Area-41,,,1,0,0,,,,,,2024-01-20 16:00:00,16,Saturday,Weekend,True,Customer,AC is not working
1/29/2024,2:00:00,CNR1434555,Cancelled by Driver,138551,Bike,Area-45,Area-27,,,0,1,0,,,,,,2024-01-29 02:00:00,2,Monday,Weekday,True,Driver,The customer was coughing/sick
1/22/2024,18:00:00,CNR7562346,Cancelled by Customer,606222,Auto,Area-10,Area-23,,,1,0,0,,,,,,2024-01-22 18:00:00,18,Monday,Weekday,True,Customer,Driver is not moving towards pickup location
1/26/2024,6:00:00,CNR4022775,Cancelled by Driver,441819,Prime Sedan,Area-35,Area-12,,,0,1,0,,,,,,2024-01-26 06:00:00,6,Friday,Weekday,True,Driver,Customer related issue
1/20/2024,12:00:00,CNR5745525,Incomplete,896922,Auto,Area-35,Area-49,,,0,0,1,,,,,,2024-01-20 12:00:00,12,Saturday,Weekend,True,Incomplete,Other Issue
1/3/2024,12:00:00,CNR9818278,Cancelled by Driver,249077,Mini,Area-44,Area-26,,,0,1,0,,,,,,2024-01-03 12:00:00,12,Wednesday,Weekday,True,Driver,The customer was coughing/sick
1/27/2024,18:00:00,CNR4468052,Incomplete,443187,Mini,Area-24,Area-30,,,0,0,1,,,,,,2024-01-27 18:00:00,18,Saturday,Weekend,True,Incomplete,Other Issue
1/1/2024,2:00:00,CNR8809668,Cancelled by Driver,964915,Mini,Area-26,Area-14,,,0,1,0,,,,,,2024-01-01 02:00:00,2,Monday,Weekday,True,Driver,Customer related issue
1/22/2024,2:00:00,CNR2835543,Cancelled by Customer,756596,Auto,Area-4,Area-3,,,1,0,0,,,,,,2024-01-22 02:00:00,2,Monday,Weekday,True,Customer,Change of plans
1/5/2024,8:00:00,CNR1323886,Cancelled by Customer,108886,Bike,Area-5,Area-34,,,1,0,0,,,,,,2024-01-05 08:00:00,8,Friday,Weekday,True,Customer,Wrong Address
1/11/2024,6:00:00,CNR4559991,Cancelled by Driver,672896,Prime Sedan,Area-37,Area-27,,,0,1,0,,,,,,2024-01-11 06:00:00,6,Thursday,Weekday,True,Driver,Customer related issue
1/21/2024,2:00:00,CNR9700200,Cancelled by Driver,847245,eBike,Area-33,Area-19,,,0,1,0,,,,,,2024-01-21 02:00:00,2,Sunday,Weekend,True,Driver,More than permitted people in there
1/9/2024,13:00:00,CNR2772399,Cancelled by Driver,934638,Prime SUV,Area-47,Area-35,,,0,1,0,,,,,,2024-01-09 13:00:00,13,Tuesday,Weekday,True,Driver,Customer related issue
1/28/2024,16:00:00,CNR3758636,Cancelled by Driver,821942,eBike,Area-25,Area-20,,,0,1,0,,,,,,2024-01-28 16:00:00,16,Sunday,Weekend,True,Driver,The customer was coughing/sick
1/24/2024,22:00:00,CNR6621096,Cancelled by Driver,783112,eBike,Area-17,Area-42,,,0,1,0,,,,,,2024-01-24 22:00:00,22,Wednesday,Weekday,True,Driver,The customer was coughing/sick
1/9/2024,0:00:00,CNR1788866,Cancelled by Customer,621533,eBike,Area-47,Area-2,,,1,0,0,,,,,,2024-01-09 00:00:00,0,Tuesday,Weekday,True,Customer,AC is not working
1/12/2024,1:00:00,CNR9475983,Cancelled by Customer,923024,eBike,Area-44,Area-35,,,1,0,0,,,,,,2024-01-12 01:00:00,1,Friday,Weekday,True,Customer,Change of plans
1/29/2024,15:00:00,CNR3316524,Cancelled by Customer,291961,Prime SUV,Area-47,Area-36,,,1,0,0,,,,,,2024-01-29 15:00:00,15,Monday,Weekday,True,Customer,AC is not working
1/23/2024,14:00:00,CNR2081245,Cancelled by Driver,850432,Prime Sedan,Area-30,Area-10,,,0,1,0,,,,,,2024-01-23 14:00:00,14,Tuesday,Weekday,True,Driver,Customer related issue
1/1/2024,4:00:00,CNR0130381,Cancelled by Customer,337256,Prime Plus,Area-41,Area-47,,,1,0,0,,,,,,2024-01-01 04:00:00,4,Monday,Weekday,True,Customer,AC is not working
1/14/2024,7:00:00,CNR1351822,Cancelled by Customer,554730,Prime Sedan,Area-39,Area-34,,,1,0,0,,,,,,2024-01-14 07:00:00,7,Sunday,Weekend,True,Customer,Driver asked to cancel
1/16/2024,21:00:00,CNR8149238,Cancelled by Driver,238948,Auto,Area-42,Area-11,,,0,1,0,,,,,,2024-01-16 21:00:00,21,Tuesday,Weekday,True,Driver,Personal & Car related issues
1/5/2024,9:00:00,CNR4058796,Cancelled by Driver,804091,eBike,Area-36,Area-14,,,0,1,0,,,,,,2024-01-05 09:00:00,9,Friday,Weekday,True,Driver,More than permitted people in there
1/27/2024,6:00:00,CNR8787527,Cancelled by Driver,149261,eBike,Area-19,Area-45,,,0,1,0,,,,,,2024-01-27 06:00:00,6,Saturday,Weekend,True,Driver,More than permitted people in there
1/17/2024,12:00:00,CNR4769072,Cancelled by Driver,838857,eBike,Area-29,Area-15,,,0,1,0,,,,,,2024-01-17 12:00:00,12,Wednesday,Weekday,True,Driver,The customer was coughing/sick
1/18/2024,17:00:00,CNR5438632,Incomplete,688602,Mini,Area-40,Area-34,,,0,0,1,,,,,,2024-01-18 17:00:00,17,Thursday,Weekday,True,Incomplete,Other Issue
1/1/2024,9:00:00,CNR1326920,Cancelled by Driver,369054,Mini,Area-25,Area-8,,,0,1,0,,,,,,2024-01-01 09:00:00,9,Monday,Weekday,True,Driver,The customer was coughing/sick
1/30/2024,5:00:00,CNR4157976,Incomplete,124906,Prime Plus,Area-48,Area-44,,,0,0,1,,,,,,2024-01-30 05:00:00,5,Tuesday,Weekday,True,Incomplete,Vehicle Breakdown
1/30/2024,21:00:00,CNR8352662,Cancelled by Driver,792818,Prime SUV,Area-25,Area-26,,,0,1,0,,,,,,2024-01-30 21:00:00,21,Tuesday,Weekday,True,Driver,Personal & Car related issues
1/24/2024,4:00:00,CNR8561385,Cancelled by Driver,635205,Bike,Area-9,Area-30,,,0,1,0,,,,,,2024-01-24 04:00:00,4,Wednesday,Weekday,True,Driver,Personal & Car related issues
1/27/2024,20:00:00,CNR5811954,Incomplete,863336,eBike,Area-41,Area-2,,,0,0,1,,,,,,2024-01-27 20:00:00,20,Saturday,Weekend,True,Incomplete,Other Issue
1/29/2024,22:00:00,CNR6530528,Cancelled by Driver,943706,Bike,Area-25,Area-23,,,0,1,0,,,,,,2024-01-29 22:00:00,22,Monday,Weekday,True,Driver,Personal & Car related issues
1/5/2024,13:00:00,CNR1628432,Cancelled by Customer,678923,Mini,Area-49,Area-14,,,1,0,0,,,,,,2024-01-05 13:00:00,13,Friday,Weekday,True,Customer,Wrong Address
1/16/2024,1:00:00,CNR6420795,Cancelled by Customer,464354,Prime Sedan,Area-36,Area-38,,,1,0,0,,,,,,2024-01-16 01:00:00,1,Tuesday,Weekday,True,Customer,AC is not working
1/12/2024,7:00:00,CNR2226119,Cancelled by Customer,106945,Bike,Area-43,Area-32,,,1,0,0,,,,,,2024-01-12 07:00:00,7,Friday,Weekday,True,Customer,Wrong Address
1/17/2024,19:00:00,CNR8741530,Cancelled by Customer,441244,Auto,Area-25,Area-38,,,1,0,0,,,,,,2024-01-17 19:00:00,19,Wednesday,Weekday,True,Customer,AC is not working
1/10/2024,17:00:00,CNR3676387,Incomplete,572161,Bike,Area-48,Area-38,,,0,0,1,,,,,,2024-01-10 17:00:00,17,Wednesday,Weekday,True,Incomplete,Vehicle Breakdown
1/4/2024,14:00:00,CNR6832261,Cancelled by Driver,474175,eBike,Area-2,Area-3,,,0,1,0,,,,,,2024-01-04 14:00:00,14,Thursday,Weekday,True,Driver,The customer was coughing/sick
1/1/2024,7:00:00,CNR5184276,Cancelled by Driver,542750,Auto,Area-15,Area-17,,,0,1,0,,,,,,2024-01-01 07:00:00,7,Monday,Weekday,True,Driver,Customer related issue
1/7/2024,5:00:00,CNR0704188,Cancelled by Driver,361055,eBike,Area-8,Area-50,,,0,1,0,,,,,,2024-01-07 05:00:00,5,Sunday,Weekend,True,Driver,More than permitted people in there
1/30/2024,6:00:00,CNR6996067,Cancelled by Driver,432125,Prime Plus,Area-9,Area-32,,,0,1,0,,,,,,2024-01-30 06:00:00,6,Tuesday,Weekday,True,Driver,The customer was coughing/sick
1/3/2024,22:00:00,CNR5485475,Cancelled by Customer,481760,Prime SUV,Area-2,Area-40,,,1,0,0,,,,,,2024-01-03 22:00:00,22,Wednesday,Weekday,True,Customer,Wrong Address
1/23/2024,18:00:00,CNR9433933,Cancelled by Driver,737967,Prime Sedan,Area-28,Area-47,,,0,1,0,,,,,,2024-01-23 18:00:00,18,Tuesday,Weekday,True,Driver,Customer related issue
1/21/2024,14:00:00,CNR1865953,Cancelled by Customer,918017,Auto,Area-37,Area-25,,,1,0,0,,,,,,2024-01-21 14:00:00,14,Sunday,Weekend,True,Customer,Driver is not moving towards pickup location
1/19/2024,4:00:00,CNR9935215,Cancelled by Driver,839389,eBike,Area-9,Area-20,,,0,1,0,,,,,,2024-01-19 04:00:00,4,Friday,Weekday,True,Driver,Customer related issue
1/19/2024,8:00:00,CNR9919935,Incomplete,980303,Prime Sedan,Area-8,Area-12,,,0,0,1,,,,,,2024-01-19 08:00:00,8,Friday,Weekday,True,Incomplete,Customer Demand
1/2/2024,6:00:00,CNR7844498,Cancelled by Driver,297062,Prime SUV,Area-18,Area-10,,,0,1,0,,,,,,2024-01-02 06:00:00,6,Tuesday,Weekday,True,Driver,Personal & Car related issues
1/6/2024,14:00:00,CNR1762522,Cancelled by Customer,917707,eBike,Area-23,Area-6,,,1,0,0,,,,,,2024-01-06 14:00:00,14,Saturday,Weekend,True,Customer,Change of plans
1/19/2024,17:00:00,CNR8434240,Cancelled by Customer,513296,Prime Sedan,Area-25,Area-47,,,1,0,0,,,,,,2024-01-19 17:00:00,17,Friday,Weekday,True,Customer,Wrong Address
1/17/2024,23:00:00,CNR8721296,Cancelled by Driver,194834,Mini,Area-30,Area-42,,,0,1,0,,,,,,2024-01-17 23:00:00,23,Wednesday,Weekday,True,Driver,Personal & Car related issues
1/20/2024,8:00:00,CNR4062565,Cancelled by Driver,157738,Prime Plus,Area-4,Area-12,,,0,1,0,,,,,,2024-01-20 08:00:00,8,Saturday,Weekend,True,Driver,The customer was coughing/sick
1/2/2024,13:00:00,CNR1056301,Incomplete,740774,Prime Sedan,Area-11,Area-44,,,0,0,1,,,,,,2024-01-02 13:00:00,13,Tuesday,Weekday,True,Incomplete,Other Issue
1/30/2024,12:00:00,CNR6559730,Cancelled by Driver,960109,Mini,Area-21,Area-24,,,0,1,0,,,,,,2024-01-30 12:00:00,12,Tuesday,Weekday,True,Driver,Personal & Car related issues
1/9/2024,2:00:00,CNR3483370,Incomplete,315154,Prime Plus,Area-34,Area-44,,,0,0,1,,,,,,2024-01-09 02:00:00,2,Tuesday,Weekday,True,Incomplete,Other Issue
1/9/2024,5:00:00,CNR2576211,Incomplete,316612,Auto,Area-36,Area-33,,,0,0,1,,,,,,2024-01-09 05:00:00,5,Tuesday,Weekday,True,Incomplete,Other Issue
1/15/2024,22:00:00,CNR5298513,Cancelled by Driver,236392,Auto,Area-35,Area-29,,,0,1,0,,,,,,2024-01-15 22:00:00,22,Monday,Weekday,True,Driver,Personal & Car related issues
1/11/2024,4:00:00,CNR6593385,Cancelled by Driver,458823,Prime SUV,Area-28,Area-37,,,0,1,0,,,,,,2024-01-11 04:00:00,4,Thursday,Weekday,True,Driver,Customer related issue
1/15/2024,16:00:00,CNR9565880,Cancelled by Driver,687234,eBike,Area-4,Area-1,,,0,1,0,,,,,,2024-01-15 16:00:00,16,Monday,Weekday,True,Driver,The customer was coughing/sick
1/20/2024,20:00:00,CNR5562666,Cancelled by Customer,742818,Prime Sedan,Area-35,Area-38,,,1,0,0,,,,,,2024-01-20 20:00:00,20,Saturday,Weekend,True,Customer,Driver is not moving towards pickup location
1/15/2024,15:00:00,CNR5049533,Incomplete,137042,Prime Plus,Area-19,Area-19,,,0,0,1,,,,,,2024-01-15 15:00:00,15,Monday,Weekday,True,Incomplete,Other Issue
1/26/2024,11:00:00,CNR7750410,Incomplete,400748,Auto,Area-48,Area-40,,,0,0,1,,,,,,2024-01-26 11:00:00,11,Friday,Weekday,True,Incomplete,Vehicle Breakdown
1/4/2024,12:00:00,CNR1072622,Cancelled by Customer,874863,Bike,Area-39,Area-12,,,1,0,0,,,,,,2024-01-04 12:00:00,12,Thursday,Weekday,True,Customer,Driver asked to cancel
1/20/2024,3:00:00,CNR3359053,Cancelled by Driver,385831,Prime SUV,Area-40,Area-42,,,0,1,0,,,,,,2024-01-20 03:00:00,3,Saturday,Weekend,True,Driver,The customer was coughing/sick
1/23/2024,9:00:00,CNR1422100,Incomplete,769078,Bike,Area-43,Area-14,,,0,0,1,,,,,,2024-01-23 09:00:00,9,Tuesday,Weekday,True,Incomplete,Customer Demand
1/21/2024,9:00:00,CNR4877509,Cancelled by Driver,661307,Bike,Area-31,Area-8,,,0,1,0,,,,,,2024-01-21 09:00:00,9,Sunday,Weekend,True,Driver,The customer was coughing/sick
1/27/2024,21:00:00,CNR6484100,Incomplete,166052,Mini,Area-16,Area-32,,,0,0,1,,,,,,2024-01-27 21:00:00,21,Saturday,Weekend,True,Incomplete,Other Issue
1/28/2024,10:00:00,CNR3584900,Cancelled by Driver,321960,Auto,Area-3,Area-26,,,0,1,0,,,,,,2024-01-28 10:00:00,10,Sunday,Weekend,True,Driver,More than permitted people in there
1/22/2024,5:00:00,CNR1606243,Cancelled by Driver,209493,Auto,Area-49,Area-30,,,0,1,0,,,,,,2024-01-22 05:00:00,5,Monday,Weekday,True,Driver,Personal & Car related issues
1/20/2024,13:00:00,CNR4722179,Cancelled by Driver,340860,Prime SUV,Area-37,Area-36,,,0,1,0,,,,,,2024-01-20 13:00:00,13,Saturday,Weekend,True,Driver,Personal & Car related issues
1/18/2024,13:00:00,CNR8495827,Cancelled by Customer,555342,Prime Sedan,Area-16,Area-16,,,1,0,0,,,,,,2024-01-18 13:00:00,13,Thursday,Weekday,True,Customer,Wrong Address
1/3/2024,4:00:00,CNR1363150,Cancelled by Customer,350224,Prime Sedan,Area-14,Area-9,,,1,0,0,,,,,,2024-01-03 04:00:00,4,Wednesday,Weekday,True,Customer,Wrong Address
1/23/2024,5:00:00,CNR9046944,Cancelled by Customer,166007,Prime Plus,Area-2,Area-19,,,1,0,0,,,,,,2024-01-23 05:00:00,5,Tuesday,Weekday,True,Customer,Driver is not moving towards pickup location
1/29/2024,10:00:00,CNR3183323,Incomplete,863209,Prime Plus,Area-36,Area-6,,,0,0,1,,,,,,2024-01-29 10:00:00,10,Monday,Weekday,True,Incomplete,Vehicle Breakdown
1/3/2024,1:00:00,CNR2595710,Cancelled by Driver,431570,Prime SUV,Area-35,Area-21,,,0,1,0,,,,,,2024-01-03 01:00:00,1,Wednesday,Weekday,True,Driver,The customer was coughing/sick
1/18/2024,19:00:00,CNR4089433,Cancelled by Driver,458660,Prime SUV,Area-39,Area-34,,,0,1,0,,,,,,2024-01-18 19:00:00,19,Thursday,Weekday,True,Driver,Customer related issue
1/22/2024,13:00:00,CNR5050212,Cancelled by Driver,203479,eBike,Area-35,Area-1,,,0,1,0,,,,,,2024-01-22 13:00:00,13,Monday,Weekday,True,Driver,Customer related issue
1/22/2024,12:00:00,CNR8461618,Incomplete,338607,Bike,Area-28,Area-14,,,0,0,1,,,,,,2024-01-22 12:00:00,12,Monday,Weekday,True,Incomplete,Vehicle Breakdown
1/5/2024,19:00:00,CNR7345432,Cancelled by Customer,221343,Mini,Area-6,Area-21,,,1,0,0,,,,,,2024-01-05 19:00:00,19,Friday,Weekday,True,Customer,Change of plans
1/6/2024,2:00:00,CNR1451990,Incomplete,985029,Bike,Area-22,Area-13,,,0,0,1,,,,,,2024-01-06 02:00:00,2,Saturday,Weekend,True,Incomplete,Vehicle Breakdown
1/6/2024,5:00:00,CNR2447757,Cancelled by Driver,799061,Mini,Area-26,Area-23,,,0,1,0,,,,,,2024-01-06 05:00:00,5,Saturday,Weekend,True,Driver,More than permitted people in there
1/2/2024,12:00:00,CNR0583741,Cancelled by Customer,696487,Auto,Area-32,Area-49,,,1,0,0,,,,,,2024-01-02 12:00:00,12,Tuesday,Weekday,True,Customer,Change of plans
1/10/2024,2:00:00,CNR6892688,Cancelled by Driver,162790,eBike,Area-37,Area-47,,,0,1,0,,,,,,2024-01-10 02:00:00,2,Wednesday,Weekday,True,Driver,Customer related issue
1/16/2024,13:00:00,CNR4277848,Cancelled by Driver,532472,Prime SUV,Area-41,Area-14,,,0,1,0,,,,,,2024-01-16 13:00:00,13,Tuesday,Weekday,True,Driver,The customer was coughing/sick
1/13/2024,5:00:00,CNR6264112,Cancelled by Driver,557318,Bike,Area-30,Area-32,,,0,1,0,,,,,,2024-01-13 05:00:00,5,Saturday,Weekend,True,Driver,More than permitted people in there
